iter	SMAPE	RMSE
460	30.53010814	4734.458781
461	30.52681285	4733.86413
462	30.51063156	4732.865095
463	30.45366336	4730.409488
464	30.41426918	4729.762692
465	30.41206845	4728.823802
466	30.4028011	4724.208463
467	30.40069406	4723.277241
468	30.40188268	4722.834453
469	30.39858313	4719.403674
470	30.39117337	4717.569113
471	30.34009022	4714.049911
472	30.30496592	4710.476541
473	30.27313264	4702.662415
474	30.20644077	4694.811539
475	30.21390079	4694.448887
476	30.20571261	4694.121433
477	30.19265769	4693.859313
478	30.18660032	4693.411165
479	30.17636884	4688.584351
480	30.16424059	4683.869772
481	30.074287	4671.088985
482	30.12182375	4669.648908
483	30.09333229	4668.570702
484	30.08796232	4667.717603
485	30.00956212	4661.717979
486	29.9757913	4658.014424
487	29.92692465	4654.402874
488	29.91286279	4653.463699
489	29.94532438	4653.322308
490	29.83121749	4648.498181
491	29.78714467	4640.669879
492	29.74332443	4636.900089
493	29.73699084	4636.050492
494	29.74050133	4635.153038
495	29.71223539	4633.542582
496	29.68997514	4627.99413
497	29.67069461	4626.210074
498	29.68945346	4620.900414
499	29.64179977	4612.679315
